offensedescription,offenserace,offensegender,offenseage,offensezip,offensestatus
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75226,Cleared by Exceptional Arrest
RECKLESS DAMAGE,L,F,47,75220,Suspended
ASST F/V M/C,Withheld,Withheld,Withheld,75203,Cleared by Arrest
INVEST. OF CRIMINAL MISCHIEF,B,M,45,75216,Suspended
ASSAULT FV STRANGULATION,Withheld,Withheld,Withheld,75208,Cleared by Exceptional Arrest
ASSAULT M/A (FV),Withheld,Withheld,Withheld,75224,Cleared by Exceptional Arrest
ASSAULT/STRANGULATION,Withheld,Withheld,Withheld,75227,Cleared by Exceptional Arrest
THEFT,W,F,65,76133,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75075,Cleared by Arrest
THEFT,L,F,22,33023,Suspended
UUMV,B,F,45,75203,Suspended
UNEXPLAINED DEATH/NATURAL DEAT,L,M,63,75212,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75243,Suspended
RESIDENTIAL BURGLARY,B,F,25,75249,Cleared by Exceptional Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75224,Cleared by Exceptional Arrest
INV OF INJURY TO ELDERLY,B,M,67,75223,Open
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75223,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,W,M,50,75246,Suspended
BMV,B,F,40,75243,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75218,Cleared by Arrest
FOUND PROPERTY,L,M,27,75211,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75217,Suspended
DUTY TO GIVE INFO>200,L,M,44,75149,Suspended
ACC INV DMG VEH/FLID,L,F,22,75211,Suspended
BMV,W,F,34,75243,Cleared by Arrest
TERRORISTIC THREAT,B,M,67,75241,Suspended
ROBBERY,L,M,34,75041,Suspended
ASSAULT VERBAL THREAT,Withheld,Withheld,Withheld,75215,Cleared by Arrest
CRIMINAL MISCHIEF,C,F,43,75013,Suspended
INVESTIGATION OF AGG ROBBERY,B,M,39,75204,Administratively Closed
THEFT AUTO ACCESSORY,W,F,20,75287,Suspended
BURGLARY,B,F,30,75228,Suspended
BMV,W,F,25,75240,Cleared by Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75208,Open
ASSAULT M/C FV,Withheld,Withheld,Withheld,76133,Cleared by Arrest
BURGLARY OF RESIDENCE,W,F,39,75228,Suspended
INV OF AGG ASSAULT,W,F,51,75208,Suspended
UUMV,L,M,22,76084,Suspended
MISSING PERSON/RUNAWAY,Withheld,Withheld,Withheld,75215,Administratively Closed
AUTO ACC THEFT,W,M,50,75218,Suspended
ASSAULT   M/C,Withheld,Withheld,Withheld,75224,Suspended
CRIMINAL MISCHIEF,L,M,40,75217,Suspended
INV OF ASSAULT -THREATS,B,M,38,75216,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,91423,Suspended
AGGRAVATED ASSAULT W/DW,L,M,25,75104,Cleared by Arrest
CRIMINAL MISCHIEF,L,F,33,75296,Suspended
ASSAULT(MA)FV,Withheld,Withheld,Withheld,75253,Cleared by Arrest
INJURED PERSON,L,M,35,75217,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75253,Suspended
BMV,L,F,42,75217,Suspended
THEFT,W,F,25,75243,Suspended
ASSAULT STRANGULATION FV,Withheld,Withheld,Withheld,75041,Suspended
INVESTIGATION OF AGG ROBBERY,B,M,47,75227,Administratively Closed
INV OF THEFT,L,M,45,75236,Open
BMV,L,M,37,75208,Suspended
